               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,             0.03267,            0.023538,           0.0051962,             0.98144,             0.79687,             0.95416,               0.503,            0.033211,             0.16777,           0.0064183,           0.0062512,           0.0062512,           0.0062512
                 146,            0.029993,            0.020525,           0.0045496,             0.99987,             0.73863,             0.93704,             0.51404,            0.031541,             0.20107,           0.0066264,           0.0062093,           0.0062093,           0.0062093
                 147,            0.028949,            0.021186,           0.0045226,             0.95326,             0.74689,             0.93466,              0.5292,            0.033051,             0.20863,           0.0060318,           0.0061675,           0.0061675,           0.0061675
                 148,            0.029939,            0.020631,           0.0045831,             0.93721,             0.83029,             0.97365,             0.54797,            0.028116,             0.15771,           0.0047419,           0.0061256,           0.0061256,           0.0061256
                 149,            0.031754,            0.019205,            0.004504,             0.89069,             0.83828,             0.95062,             0.43897,            0.033078,             0.19467,           0.0066887,           0.0060838,           0.0060838,           0.0060838
                 150,            0.029431,            0.023202,            0.004542,              0.9268,             0.83988,              0.9548,             0.49947,            0.032095,             0.16888,           0.0052676,           0.0060419,           0.0060419,           0.0060419
                 151,            0.032115,            0.021547,           0.0047519,             0.92865,             0.88616,             0.94573,             0.47604,            0.036382,             0.16774,           0.0059498,               0.006,               0.006,               0.006
                 152,            0.032433,            0.022171,           0.0047581,               0.905,             0.87666,             0.93123,             0.44658,            0.039923,             0.16453,           0.0069799,           0.0059581,           0.0059581,           0.0059581
                 153,            0.030319,            0.022773,           0.0050692,             0.93525,             0.84357,             0.95147,             0.51134,            0.038253,              0.1704,           0.0057997,           0.0059162,           0.0059162,           0.0059162
                 154,            0.030698,            0.021215,           0.0045709,             0.96967,             0.78934,             0.89201,             0.46351,            0.033991,             0.17907,           0.0051666,           0.0058744,           0.0058744,           0.0058744
                 155,            0.032247,            0.021067,           0.0040727,              0.9899,             0.71482,              0.8532,             0.42206,            0.038742,             0.23396,           0.0079971,           0.0058325,           0.0058325,           0.0058325
                 156,            0.030511,            0.019763,           0.0039565,             0.83218,             0.85761,              0.9279,             0.42244,            0.034014,             0.21794,           0.0068571,           0.0057907,           0.0057907,           0.0057907
                 157,            0.028946,            0.022707,           0.0041495,             0.91957,             0.89848,             0.93842,             0.47936,            0.034071,             0.16783,           0.0066293,           0.0057488,           0.0057488,           0.0057488
                 158,            0.030054,            0.020262,           0.0040351,             0.94164,             0.85735,             0.93989,             0.48219,            0.034548,             0.16597,           0.0048074,            0.005707,            0.005707,            0.005707
