               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.041627,            0.029591,             0.01031,             0.96415,             0.97017,             0.99109,             0.56877,            0.034589,            0.098093,           0.0061065,             0.00785,             0.00785,             0.01195
                  80,            0.047475,            0.026216,            0.012206,              0.7339,             0.88033,             0.91992,              0.4453,            0.038851,             0.11973,           0.0088038,           0.0079072,           0.0079072,            0.010807
                  81,            0.044017,            0.031038,            0.010684,             0.83593,             0.86671,             0.94443,             0.50704,            0.043555,             0.13013,            0.008329,            0.007963,            0.007963,            0.009663
                  82,             0.04607,            0.026887,            0.011327,             0.90412,             0.93556,              0.9814,              0.5318,              0.0387,            0.095858,           0.0052992,           0.0080175,           0.0080175,           0.0085175
                  83,             0.04353,            0.027701,            0.011022,             0.83044,             0.84698,             0.94322,             0.44291,            0.039955,              0.1129,           0.0062845,           0.0080145,           0.0080145,           0.0080145
                  84,            0.039079,            0.028755,           0.0098097,             0.95633,             0.70415,             0.86561,             0.43152,             0.04207,             0.15625,           0.0083494,           0.0080145,           0.0080145,           0.0080145
                  85,            0.042649,            0.033963,           0.0096819,              0.9191,             0.91823,             0.97299,             0.42483,            0.041333,              0.1233,           0.0067778,           0.0079709,           0.0079709,           0.0079709
                  86,            0.037937,            0.032804,           0.0097588,             0.79511,             0.80507,             0.88326,             0.45616,            0.042564,             0.20928,           0.0082639,            0.007927,            0.007927,            0.007927
                  87,            0.040291,            0.026437,           0.0093011,             0.86986,             0.86202,              0.9563,             0.49966,             0.04056,             0.16541,           0.0085328,           0.0078828,           0.0078828,           0.0078828
                  88,            0.039881,            0.025631,           0.0093169,              0.8926,             0.70368,             0.82258,             0.34245,            0.054622,             0.17123,            0.012186,           0.0078383,           0.0078383,           0.0078383
                  89,            0.039922,            0.023662,           0.0092848,             0.94411,             0.77188,             0.92364,             0.45336,            0.044405,             0.18461,            0.009736,           0.0077935,           0.0077935,           0.0077935
                  90,            0.038928,            0.028254,           0.0082947,             0.88932,             0.84719,             0.94024,             0.49299,            0.039064,             0.13398,           0.0070515,           0.0077485,           0.0077485,           0.0077485
                  91,              0.0385,            0.030162,           0.0093654,             0.60402,             0.67163,             0.81587,             0.38296,            0.065205,             0.36077,            0.021064,           0.0077031,           0.0077031,           0.0077031
                  92,            0.036899,            0.024641,           0.0089912,              0.9263,             0.89968,             0.98821,             0.51555,            0.036239,            0.094714,           0.0060462,           0.0076575,           0.0076575,           0.0076575
                  93,            0.039299,            0.028948,           0.0094841,              0.7968,             0.83474,             0.96347,             0.38952,            0.041539,              0.2043,           0.0069026,           0.0076116,           0.0076116,           0.0076116
                  94,            0.040484,             0.02861,           0.0083717,             0.90311,             0.81592,             0.97246,             0.46682,            0.034355,             0.14487,           0.0065417,           0.0075655,           0.0075655,           0.0075655
                  95,            0.038155,            0.026846,           0.0076556,             0.88739,              0.7038,             0.87303,             0.43521,            0.068814,             0.19521,           0.0069044,           0.0075191,           0.0075191,           0.0075191
                  96,            0.039763,            0.028073,           0.0083168,             0.94709,             0.91441,             0.98797,             0.47781,            0.057389,              0.1065,           0.0048113,           0.0074725,           0.0074725,           0.0074725
                  97,            0.036309,            0.025243,           0.0073658,               0.999,             0.78932,             0.96918,             0.45257,             0.04084,             0.11698,           0.0053199,           0.0074256,           0.0074256,           0.0074256
                  98,            0.037926,            0.027162,            0.007436,             0.95099,             0.90461,              0.9884,              0.5295,            0.044115,             0.10893,            0.005141,           0.0073786,           0.0073786,           0.0073786
                  99,            0.039184,            0.030973,           0.0076104,             0.92572,             0.95557,             0.99123,             0.49167,            0.032315,            0.096773,           0.0056372,           0.0073313,           0.0073313,           0.0073313
                 100,            0.039504,            0.025831,            0.008741,             0.94828,             0.68023,             0.94463,             0.49114,            0.061858,             0.17819,           0.0073295,           0.0072838,           0.0072838,           0.0072838
                 101,            0.039848,            0.027191,           0.0079534,             0.94255,             0.74192,             0.94131,              0.3992,             0.04538,             0.15989,           0.0059788,           0.0072361,           0.0072361,           0.0072361
                 102,            0.037485,            0.026621,           0.0082598,             0.94998,             0.75654,             0.90836,             0.50242,            0.044997,             0.15803,            0.005642,           0.0071882,           0.0071882,           0.0071882
                 103,              0.0374,            0.025374,           0.0071766,             0.94363,             0.92547,                0.99,             0.55687,            0.029677,             0.10089,           0.0044871,           0.0071401,           0.0071401,           0.0071401
                 104,            0.037614,            0.023095,           0.0076107,             0.95894,             0.92857,             0.98859,             0.51717,            0.032549,             0.10737,            0.004811,           0.0070918,           0.0070918,           0.0070918
                 105,            0.036813,            0.024863,           0.0068749,             0.92196,              0.8445,             0.93888,             0.50463,            0.034979,             0.16011,           0.0070996,           0.0070434,           0.0070434,           0.0070434
                 106,            0.036489,            0.024608,           0.0069514,             0.93004,             0.81001,             0.94115,             0.43057,            0.036162,             0.15908,           0.0075354,           0.0069948,           0.0069948,           0.0069948
                 107,            0.037271,            0.023744,           0.0073732,             0.97188,             0.87887,             0.98247,             0.53229,            0.030444,             0.11573,           0.0051004,            0.006946,            0.006946,            0.006946
