               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.047903,            0.043706,            0.016984,             0.87971,             0.66655,             0.66258,             0.27225,            0.045006,            0.086023,            0.012223,            0.002911,            0.002911,            0.063011
                  80,            0.046597,            0.047519,            0.016966,             0.85748,             0.66667,             0.68054,             0.35138,            0.043919,            0.084786,            0.012113,           0.0029234,           0.0029234,            0.062523
                  81,            0.046468,            0.042176,            0.016928,             0.77278,             0.71005,              0.6676,             0.36089,            0.053069,            0.093033,            0.016111,            0.002935,            0.002935,            0.062035
                  82,            0.047414,            0.047869,            0.017086,             0.74888,             0.74375,             0.66932,             0.25591,            0.047318,            0.085195,             0.01209,            0.002946,            0.002946,            0.061546
                  83,            0.047735,            0.045284,            0.017554,             0.70855,             0.74936,              0.6672,             0.30942,            0.038929,             0.08761,            0.011639,           0.0029563,           0.0029563,            0.061056
                  84,            0.046228,            0.043537,            0.016368,             0.88629,             0.64914,             0.66313,             0.32501,            0.037839,            0.086024,            0.011715,           0.0029658,           0.0029658,            0.060566
                  85,            0.044532,            0.041693,            0.017427,             0.90975,              0.6533,             0.67596,             0.35698,            0.039198,            0.086497,            0.011598,           0.0029746,           0.0029746,            0.060075
                  86,            0.047393,            0.044343,            0.014811,             0.77262,             0.74375,             0.65885,             0.29587,            0.034668,            0.087178,            0.011474,           0.0029827,           0.0029827,            0.059583
                  87,            0.043315,            0.043992,            0.016124,             0.84262,             0.73691,             0.69393,             0.35022,             0.03394,            0.084649,            0.011333,           0.0029901,           0.0029901,             0.05909
                  88,            0.045465,             0.04235,            0.015223,             0.88072,              0.7174,             0.68797,              0.3509,            0.035034,            0.086424,            0.012295,           0.0029968,           0.0029968,            0.058597
                  89,            0.045439,            0.044605,            0.015489,               0.884,              0.7373,             0.69815,             0.35727,            0.034616,            0.083166,            0.012084,           0.0030028,           0.0030028,            0.058103
                  90,            0.046249,            0.043349,            0.015825,             0.88312,               0.743,              0.6968,             0.32013,            0.039928,             0.08483,            0.011636,           0.0030081,           0.0030081,            0.057608
                  91,            0.042957,            0.044726,            0.015141,             0.89518,             0.74314,             0.69628,             0.34733,            0.038575,            0.084407,            0.011317,           0.0030127,           0.0030127,            0.057113
                  92,            0.044869,            0.044393,            0.016072,              0.7838,             0.64102,             0.62002,             0.32172,            0.041372,            0.084605,            0.011218,           0.0030166,           0.0030166,            0.056617
